concurrency,index,start_offset_s,ttft_ms,e2e_ms,out_tokens
1,0,0.0011,21.1,782.4,124
1,1,0.7835,21.4,782.0,124
1,2,1.5656,21.5,782.3,124
1,3,2.348,21.8,782.5,122
1,4,3.1305,21.1,781.9,124
1,5,3.9124,21.7,782.5,124
1,6,4.6949,21.4,782.4,124
1,7,5.4774,21.9,782.8,122
1,8,6.2603,25.5,787.4,123
1,9,7.0477,25.2,787.5,121
1,10,7.8352,25.3,788.3,121
1,11,8.6236,26.1,788.0,121
1,12,9.4117,25.9,788.4,121
1,13,10.2002,25.6,787.5,121
1,14,10.9877,25.6,788.0,121
1,15,11.7758,25.5,787.9,122
1,16,12.5637,25.5,788.1,123
1,17,13.3519,25.6,788.7,122
1,18,14.1407,25.9,788.4,124
1,19,14.9292,25.8,787.4,117
1,20,15.7167,24.5,787.8,121
1,21,16.5045,24.9,787.3,122
1,22,17.2919,25.6,788.0,121
1,23,18.08,25.6,788.0,121
1,24,18.868,25.0,787.3,121
1,25,19.6553,24.4,787.3,121
1,26,20.4427,24.7,787.2,120
1,27,21.2299,24.5,787.6,117
1,28,22.0175,24.3,787.5,120
1,29,22.8051,25.0,787.7,121
1,30,23.5929,26.2,788.3,121
1,31,24.3812,26.0,788.9,121
1,32,25.1702,25.7,788.1,121
1,33,25.9583,25.5,788.7,122
1,34,26.7471,25.9,788.6,119
1,35,27.5358,25.8,788.6,119
1,36,28.3244,26.4,788.1,121
1,37,29.1125,25.9,787.8,117
1,38,29.9004,25.7,788.0,121
1,39,30.6884,25.1,788.0,119
1,40,31.4765,25.3,788.3,117
1,41,32.2649,25.6,787.9,117
1,42,33.0528,25.5,788.5,120
1,43,33.8414,25.4,787.7,121
1,44,34.6292,25.4,787.7,126
1,45,35.4169,26.1,788.2,117
1,46,36.2052,25.6,788.1,121
1,47,36.9933,25.2,788.0,128
1,48,37.7814,25.0,787.9,117
1,49,38.5693,25.1,787.9,117
1,50,39.3572,25.3,788.1,121
1,51,40.1454,25.4,787.9,121
1,52,40.9333,25.2,788.2,121
1,53,41.7215,25.4,788.1,123
1,54,42.5097,25.0,787.8,121
1,55,43.2975,25.5,787.9,123
1,56,44.0855,25.6,788.5,121
1,57,44.874,25.7,788.0,121
1,58,45.662,25.3,788.1,121
1,59,46.4501,25.3,788.0,117
1,60,47.2382,25.6,787.9,117
1,61,48.0261,25.6,787.8,117
1,62,48.814,25.6,788.3,121
1,63,49.6024,25.6,787.7,121
1,64,50.3902,25.7,787.9,121
1,65,51.1782,25.5,787.7,119
1,66,51.966,25.5,787.9,119
1,67,52.7539,25.4,788.4,128
1,68,53.5423,24.7,787.4,123
1,69,54.3298,25.2,788.0,117
1,70,55.1179,25.2,787.9,117
1,71,55.9059,25.7,787.6,121
1,72,56.6936,25.7,787.9,117
1,73,57.4816,25.5,787.7,119
1,74,58.2694,25.5,788.0,117
1,75,59.0574,25.7,789.0,117
1,76,59.8465,26.0,788.2,119
1,77,60.6348,25.0,788.1,123
1,78,61.4229,25.4,787.6,119
1,79,62.2105,25.6,787.7,126
1,80,62.9982,25.5,788.4,126
1,81,63.7867,25.5,787.8,128
1,82,64.5746,25.1,787.8,123
1,83,65.3624,25.0,788.3,117
1,84,66.1507,25.3,788.8,123
1,85,66.9396,25.4,788.8,122
1,86,67.7285,25.7,788.8,117
1,87,68.5174,25.8,788.9,117
1,88,69.3063,25.4,788.4,128
1,89,70.0948,25.8,789.0,121
1,90,70.8838,25.0,788.2,117
1,91,71.6721,24.9,788.7,123
1,92,72.4608,25.2,788.6,128
1,93,73.2495,24.8,788.6,124
1,94,74.0382,25.0,788.5,123
1,95,74.8267,25.7,788.7,119
1,96,75.6154,25.3,788.8,117
